,atletas.status_id,atletas.posicao_id,atletas.pontos_num,atletas.atleta_id,atletas.variacao_num,atletas.apelido,atletas.preco_num,atletas.apelido_abreviado,atletas.nome,atletas.slug,atletas.jogos_num,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.clube_id,atletas.media_num,atletas.rodada_id,atletas.foto,CA,DS,FC,FF,FS,I,SG,A,G,DE,GS,V,FD,FT,CV,PC,PS,DP,PP,GC
54,6,3,0.0,70221,0.0,Bruno Uvini,2.22,B. Uvini,Bruno Uvini Bortolança,bruno-uvini,6,Vitória,,False,287,0.48,32,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,
55,6,5,0.0,70316,0.0,Diego Costa,5.1,D. Costa,Diego da Silva Costa,diego-costa,7,Grêmio,,False,284,1.78,32,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,2.0,4.0,4.0,,5.0,2.0,,,1.0,,,,3.0,,1.0,,,,,
56,6,1,0.0,70332,0.0,Marchesín,7.52,Marchesín,Agustín Federico Marchesín,marchesin,20,Grêmio,,False,284,4.51,32,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,3.0,1.0,,,4.0,,7.0,,,69.0,21.0,,,,,,,1.0,,
57,7,5,6.9,70360,0.75,Eduardo Sasha,8.42,E. Sasha,Eduardo Colcenti Antunes,eduardo-sasha,19,Bragantino,,True,280,4.04,32,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,6.0,8.0,15.0,14.0,23.0,3.0,,3.0,3.0,,,,16.0,,1.0,,,,,
58,7,1,-2.0,70449,-0.66,Gabriel,3.52,Gabriel,Gabriel Vasconcelos Ferreira,gabriel,24,Juventude,,True,286,2.36,32,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,4.0,,1.0,,4.0,,4.0,,,80.0,37.0,,,,1.0,1.0,,,,
59,6,4,3.6,70592,-0.03,Felipe Anderson,9.09,F. Anderson,Felipe Anderson Pereira Gomes,felipe-anderson,15,Palmeiras,,True,275,5.2,32,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_pq8QjaQ.png,,32.0,9.0,7.0,8.0,1.0,,2.0,2.0,,,,3.0,1.0,,,,,,
60,7,3,4.7,70666,0.91,Marllon,4.54,Marllon,Marllon Gonçalves Jerônimo Borges,marllon,24,Cuiabá,,True,1371,2.75,32,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,3.0,23.0,16.0,6.0,8.0,,5.0,,1.0,,,,2.0,1.0,,2.0,1.0,,,
61,6,5,0.8,70788,-0.33,Enner Valencia,8.1,E. Valencia,Enner Remberto Valencia Lastra,enner-valencia,14,Internacional,,True,285,1.48,32,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,1.0,4.0,6.0,5.0,12.0,3.0,,,,,,,5.0,1.0,,,,,,
62,6,2,0.0,70916,0.0,Diogo Barbosa,3.99,D. Barbosa,Diogo Barbosa Mendanha,diogo-barbosa,18,Fluminense,,False,266,2.41,32,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,6.0,16.0,13.0,2.0,15.0,,5.0,,,,,,,,,,,,,
63,6,4,5.4,70944,0.5,Bruno Henrique,5.82,B. Henrique,Bruno Henrique Corsini,bruno-henrique,27,Internacional,,True,285,2.78,32,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,3.0,33.0,43.0,12.0,17.0,1.0,,1.0,2.0,,,,8.0,1.0,,,,,,
64,6,4,2.5,70958,0.39,Jean Carlos,7.31,J. Carlos,Jean Carlos Vicente,jean-carlos,17,Juventude,,True,286,3.25,32,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,3.0,7.0,13.0,10.0,6.0,1.0,,1.0,4.0,,,,5.0,,,,,,,
65,7,4,1.0,70984,-2.02,Payet,6.11,Payet,Florent Dimitri Payet,payet,17,Vasco,,True,267,3.87,32,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,1.0,10.0,8.0,5.0,18.0,2.0,,3.0,3.0,,,,2.0,1.0,,,,,,
66,6,3,0.0,71038,0.0,Pedro Henrique,4.73,P. Henrique,Pedro Henrique Pereira da Silva,pedro-henrique,9,Atlético-GO,,False,373,3.02,32,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,3.0,11.0,8.0,,4.0,,3.0,,,,,,2.0,,,,,,,
67,7,3,0.8,71227,-1.03,Maicon,4.11,Maicon,Maicon Pereira Roque,maicon,28,Vasco,,True,267,2.6,32,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,5.0,31.0,12.0,2.0,7.0,1.0,6.0,,1.0,,,,1.0,,,,,,,
68,7,4,14.9,71536,1.51,Luiz Gustavo,6.54,L. Gustavo,Luiz Gustavo Dias,luiz-gustavo,23,São Paulo,,True,276,3.0,32,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,3.0,33.0,31.0,10.0,22.0,,,,1.0,,,,10.0,1.0,,,,,,
69,6,1,0.0,71631,-0.18,Weverton,9.69,Weverton,Weverton Pereira da Silva,weverton,31,Palmeiras,,True,275,5.06,32,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,2.0,1.0,,,8.0,,14.0,1.0,,104.0,25.0,,,,,,,,,
70,7,2,7.4,71680,1.08,Raúl Cáceres,6.26,R. Cáceres,Raúl Alejandro Cáceres Bogado,raul-caceres,17,Vitória,,True,287,3.74,32,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,1.0,27.0,18.0,1.0,4.0,2.0,5.0,2.0,,,,,,,,,,,,
71,6,3,3.0,71684,-0.14,Gustavo Gómez,8.44,G. Gómez,Gustavo Raúl Gómez Portillo,gustavo-gomez,22,Palmeiras,,True,275,4.1,32,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,7.0,25.0,36.0,12.0,18.0,7.0,9.0,2.0,1.0,,,,1.0,,,1.0,,,,1.0
72,7,2,3.2,71701,-0.65,Santiago Arias,6.14,S. Arias,Santiago Arias Naranjo,santiago-arias,19,Bahia,,True,265,4.04,32,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,2.0,28.0,21.0,6.0,18.0,4.0,7.0,1.0,,,,,2.0,,1.0,1.0,,,,
73,6,4,0.0,71898,0.0,Gabriel Pires,5.14,G. Pires,Gabriel Appelt Pires,gabriel-pires,5,Fluminense,,False,266,3.48,32,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,1.0,13.0,8.0,2.0,5.0,1.0,,,,,,,1.0,,,,,,,
74,6,1,0.0,72294,0.0,Everson,6.94,Everson,Everson Felipe Marques Pires,everson,19,Atlético-MG,,False,282,1.93,32,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,5.0,,1.0,,4.0,,5.0,,,44.0,26.0,,,,1.0,,,,,
75,6,1,0.0,72372,0.0,Felipe Alves,5.0,F. Alves,Felipe Alves Raymundo,felipe-alves,0,Fluminense,,False,266,0.0,32,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,,,,,,,,,,,,,,,,,,,,
76,7,6,2.78,72391,0.01,Fernando Diniz,8.14,F. Diniz,Fernando Diniz Silva,fernando-diniz,15,Cruzeiro,,True,283,3.37,32,https://s.sde.globo.com/media/person_role/2024/09/23/photo_FORMATO_oIP1uaU.png,,,,,,,,,,,,1.0,,,,,,,,
77,6,4,0.5,72460,-0.06,Bernard,5.8,Bernard,Bernard Anício Caldeira Duarte,bernard,11,Atlético-MG,,True,282,1.02,32,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_hLeY8f6.png,1.0,7.0,14.0,2.0,7.0,1.0,,,,,,,,1.0,,,,,,
78,7,2,10.8,72493,1.82,Alex Telles,8.85,A. Telles,Alex Nicolao Telles,alex-telles,6,Botafogo,,True,263,5.1,32,https://s.sde.globo.com/media/person_role/2024/09/03/photo_FORMATO_Dy4LFfE.png,,2.0,3.0,3.0,1.0,,4.0,1.0,,,,,1.0,,,,,,,
79,6,4,0.0,72497,0.0,Gustavo Campanharo,3.66,G. Campanharo,Gustavo Campanharo,gustavo-campanharo,3,Atlético-GO,,False,373,0.47,32,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_XGJ1uLI.png,,1.0,2.0,1.0,,,,,,,,,,,,,,,,
80,6,2,4.2,72532,0.35,Maguinho,4.78,Maguinho,Magno José da Silva,maguinho,20,Atlético-GO,,True,373,2.49,32,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_204au3d.png,3.0,20.0,21.0,6.0,12.0,2.0,4.0,1.0,,,,,3.0,,1.0,2.0,1.0,,,
81,6,5,0.0,72583,0.0,Pedro Henrique,4.69,P. Henrique,Pedro Henrique Konzen Medina da Silva,pedro-henrique,10,Corinthians,,False,264,2.56,32,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_sB7v4Fv.png,2.0,4.0,6.0,7.0,8.0,4.0,,1.0,1.0,,,,2.0,,,,,,,
82,6,1,0.0,72595,0.0,Maurício Kozlinski,3.0,M. Kozlinski,Maurício Kozlinski,mauricio-kozlinski,0,Fortaleza,,False,356,0.0,32,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_EePQ79Y.png,,,,,,,,,,,,,,,,,,,,
