"team_name","strength","attack","defense","n_games"
"262",1.33,2.35,1.07,76
"277",1.17,1.63,1.39,76
"284",1.06,1.76,1.19,76
"293",1.02,1.21,1.67,76
"275",0.92,1.57,1.2,76
"356",0.43,1.42,0.95,38
"276",0.31,1,1.24,75
"264",0.21,1.07,1.08,76
"285",0.18,1.11,1.02,76
"267",0.17,1.06,1.06,76
"265",0.07,1.15,0.92,76
"266",0.03,0.88,1.16,76
"282",-0.03,1.12,0.87,76
"354",-0.11,0.88,1.05,75
"290",-0.16,1.39,0.64,38
"315",-0.44,0.77,0.95,76
"263",-0.53,0.75,0.93,76
"283",-0.68,0.59,1.05,76
"341",-0.94,0.73,0.71,38
"314",-1.69,0.47,0.67,38
