"team_name","strength","attack","defense","n_games"
"262",1.59,2.3,1.31,73
"284",1.11,1.74,1.24,73
"293",1.11,1.38,1.55,73
"277",0.9,1.56,1.2,73
"275",0.85,1.44,1.25,73
"276",0.49,0.95,1.47,72
"356",0.42,1.54,0.87,35
"264",0.39,1.12,1.18,73
"267",0.22,1.13,1.03,73
"285",0.2,1.09,1.05,73
"265",0.13,1.18,0.93,73
"266",0.04,0.91,1.12,73
"354",-0.04,0.93,1.05,72
"290",-0.12,1.34,0.69,35
"282",-0.14,1.04,0.87,73
"263",-0.29,0.85,0.96,73
"283",-0.34,0.71,1.11,73
"315",-0.63,0.69,0.93,73
"341",-0.7,0.75,0.82,35
"314",-1.8,0.42,0.68,35
