"team_name","strength","attack","defense","n_games"
"262",1.38,2.4,1.08,55
"264",1.21,1.07,2.17,55
"276",0.75,1.12,1.5,54
"293",0.69,1.35,1.19,55
"275",0.66,1.41,1.12,54
"265",0.59,1.02,1.47,55
"277",0.56,1.68,0.88,55
"285",0.37,1.17,1.11,55
"284",0.29,1.2,1.02,55
"282",0.28,1.11,1.1,55
"354",0.2,1.04,1.1,54
"356",0.09,1.36,0.78,17
"263",-0.09,0.95,0.99,55
"267",-0.2,0.92,0.95,55
"283",-0.32,0.87,0.92,55
"266",-0.61,0.96,0.68,54
"315",-0.72,0.85,0.72,55
"290",-0.85,0.84,0.67,17
"314",-1.16,0.55,0.82,17
"341",-1.91,0.3,0.89,17
