"team_name","strength","attack","defense","n_games"
"262",1.65,2.33,1.34,58
"284",1.1,1.72,1.24,58
"275",1.08,1.44,1.47,58
"264",0.93,1.2,1.6,58
"285",0.8,1.31,1.33,58
"265",0.69,1.16,1.39,58
"276",0.69,1.18,1.36,57
"293",0.55,1.21,1.21,58
"277",0.49,1.47,0.95,58
"354",0.14,1.04,1.06,57
"263",0.08,1.02,1.03,58
"356",0.07,1.17,0.9,20
"267",-0.07,1,0.95,58
"282",-0.12,1.05,0.88,58
"283",-0.32,0.9,0.89,58
"290",-0.48,1.02,0.7,20
"341",-0.64,0.58,1.1,20
"266",-0.67,0.85,0.74,58
"314",-0.7,0.61,1,20
"315",-0.88,0.77,0.71,58
