"team_name","strength","attack","defense","n_games"
"262",1.86,2.16,1.68,65
"284",0.99,1.85,1.07,65
"275",0.95,1.47,1.32,65
"276",0.7,0.92,1.76,64
"293",0.69,1.49,1.08,65
"277",0.65,1.34,1.18,65
"264",0.59,1.14,1.33,65
"265",0.55,1.1,1.33,65
"285",0.49,1.09,1.28,65
"267",0.2,0.95,1.21,65
"356",0.18,1.23,0.92,27
"282",0.02,1.27,0.8,65
"354",-0.02,0.94,1.05,64
"266",-0.09,0.94,1,65
"283",-0.11,0.86,1.08,65
"263",-0.12,0.98,0.94,65
"290",-0.17,1.17,0.76,27
"341",-0.52,0.9,0.78,27
"315",-0.77,0.71,0.83,65
"314",-1.43,0.5,0.74,27
