preco_num,variacao_num,atleta_id,status_id,clube_nome,pontos_num,rodada_id,apelido,posicao_id,FS,A,FT,FD,FF,G,I,PP,FC,GC,CA,CV,SG,DD,DP,GS,DS,DE,PC,PS,ano,Date,Time,casa,adversario_nome,odds_vitoria,odds_derrota,gols_time,gols_oponente,odds_empate
10.6,1.6,36443,,internacional,5.0,1,Dida,gol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,,2014,19/04/2014,22:30,1,vitória,1.49,6.57,1,0,4.01
12.88,-2.12,36540,,internacional,2.0,1,Juan,zag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,2014,19/04/2014,22:30,1,vitória,1.49,6.57,1,0,4.01
6.44,-1.56,37655,,internacional,0.5,1,Rafael Moura,ata,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,19/04/2014,22:30,1,vitória,1.49,6.57,1,0,4.01
3.56,0.56,38074,,internacional,1.7,1,Ygor,mei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.275,0.0,,,2014,19/04/2014,22:30,1,vitória,1.49,6.57,1,0,4.01
10.0,-3.0,38108,,internacional,0.2,1,Jorge Henrique,ata,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,19/04/2014,22:30,1,vitória,1.49,6.57,1,0,4.01
15.22,-1.78,38219,,internacional,3.1,1,Alex,mei,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,19/04/2014,22:30,1,vitória,1.49,6.57,1,0,4.01
15.6,0.6,40006,,internacional,5.59,1,Abel Braga,tec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,19/04/2014,22:30,1,vitória,1.49,6.57,1,0,4.01
12.42,0.42,49674,,internacional,4.4,1,Fabrício,lat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,2014,19/04/2014,22:30,1,vitória,1.49,6.57,1,0,4.01
15.98,-2.02,54424,,internacional,3.1,1,Willians,mei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8249999999999997,0.0,,,2014,19/04/2014,22:30,1,vitória,1.49,6.57,1,0,4.01
25.98,1.98,62023,,internacional,10.3,1,D'Alessandro,mei,6.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.275,0.0,,,2014,19/04/2014,22:30,1,vitória,1.49,6.57,1,0,4.01
11.36,4.36,63172,,internacional,8.0,1,Paulão,zag,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.55,0.0,,,2014,19/04/2014,22:30,1,vitória,1.49,6.57,1,0,4.01
4.92,-0.08,68685,,internacional,1.5,1,Alan Patrick,mei,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,19/04/2014,22:30,1,vitória,1.49,6.57,1,0,4.01
12.65,7.65,69325,,internacional,11.7,1,Aránguiz,mei,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8249999999999997,0.0,,,2014,19/04/2014,22:30,1,vitória,1.49,6.57,1,0,4.01
9.32,4.32,74074,,internacional,7.3,1,Claudio Winck,lat,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.275,0.0,,,2014,19/04/2014,22:30,1,vitória,1.49,6.57,1,0,4.01
3.56,1.56,85423,,internacional,2.7,1,Valdivia,mei,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.275,0.0,,,2014,19/04/2014,22:30,1,vitória,1.49,6.57,1,0,4.01
6.81,-1.46,36443,,internacional,-2.6,3,Dida,gol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,,,2014,04/05/2014,20:00,1,sport,1.33,9.12,2,1,4.65
10.85,-1.19,36540,,internacional,0.1,3,Juan,zag,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.275,0.0,,,2014,04/05/2014,20:00,1,sport,1.33,9.12,2,1,4.65
12.69,0.29,37655,,internacional,5.4,3,Rafael Moura,ata,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.275,0.0,,,2014,04/05/2014,20:00,1,sport,1.33,9.12,2,1,4.65
2.9,-0.66,38074,,internacional,-0.6,3,Ygor,mei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,04/05/2014,20:00,1,sport,1.33,9.12,2,1,4.65
13.06,-2.16,38219,,internacional,1.6,3,Alex,mei,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.275,0.0,,,2014,04/05/2014,20:00,1,sport,1.33,9.12,2,1,4.65
6.95,-0.94,38279,,internacional,-0.3,3,Wellington Paulista,ata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,04/05/2014,20:00,1,sport,1.33,9.12,2,1,4.65
15.23,-0.13,40006,,internacional,3.48,3,Abel Braga,tec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,04/05/2014,20:00,1,sport,1.33,9.12,2,1,4.65
11.13,-1.21,49674,,internacional,-0.2,3,Fabrício,lat,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,04/05/2014,20:00,1,sport,1.33,9.12,2,1,4.65
13.3,1.44,54424,,internacional,6.7,3,Willians,mei,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,,,2014,04/05/2014,20:00,1,sport,1.33,9.12,2,1,4.65
27.85,3.36,62023,,internacional,15.0,3,D'Alessandro,mei,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8249999999999997,0.0,,,2014,04/05/2014,20:00,1,sport,1.33,9.12,2,1,4.65
11.92,0.4,63172,,internacional,3.3,3,Paulão,zag,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8249999999999997,0.0,,,2014,04/05/2014,20:00,1,sport,1.33,9.12,2,1,4.65
6.01,0.49,68685,,internacional,2.9,3,Alan Patrick,mei,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.275,0.0,,,2014,04/05/2014,20:00,1,sport,1.33,9.12,2,1,4.65
17.34,1.86,69325,,internacional,8.2,3,Aránguiz,mei,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.275,0.0,,,2014,04/05/2014,20:00,1,sport,1.33,9.12,2,1,4.65
4.09,-1.91,80313,,internacional,-1.6,3,Gilberto ,lat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.275,0.0,,,2014,04/05/2014,20:00,1,sport,1.33,9.12,2,1,4.65
7.14,-0.78,85423,,internacional,0.4,3,Valdivia,mei,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,04/05/2014,20:00,1,sport,1.33,9.12,2,1,4.65
7.96,1.15,36443,,internacional,4.0,4,Dida,gol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,,,2014,10/05/2014,22:30,1,atlético-pr,1.5,6.34,2,1,3.92
10.61,-0.24,36540,,internacional,0.9,4,Juan,zag,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,10/05/2014,22:30,1,atlético-pr,1.5,6.34,2,1,3.92
13.18,0.49,37655,,internacional,4.4,4,Rafael Moura,ata,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,10/05/2014,22:30,1,atlético-pr,1.5,6.34,2,1,3.92
12.84,-0.22,38219,,internacional,1.9,4,Alex,mei,5.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,10/05/2014,22:30,1,atlético-pr,1.5,6.34,2,1,3.92
