preco_num,variacao_num,atleta_id,status_id,clube_nome,pontos_num,rodada_id,apelido,posicao_id,FS,A,FT,FD,FF,G,I,PP,FC,GC,CA,CV,SG,DD,DP,GS,DS,DE,PC,PS,ano,Date,Time,casa,adversario_nome,odds_vitoria,odds_derrota,gols_time,gols_oponente,odds_empate
5.35,-0.65,36856,7,juventude,1.87,35,Celso Roth,tec,,,,,,,,,,,,,,,,,,0.0,,,2022,02/11/2022,22:00,1,coritiba,2.54,2.88,0,1,3.15
1.97,-0.12,68817,7,juventude,-0.1,35,Paulo Miranda,zag,1.0,,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,2022,02/11/2022,22:00,1,coritiba,2.54,2.88,0,1,3.15
3.29,-0.08,71719,7,juventude,1.1,35,Elton,mei,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,,2022,02/11/2022,22:00,1,coritiba,2.54,2.88,0,1,3.15
6.89,-0.05,80129,7,juventude,0.2,35,Jadson,mei,2.0,,,0.0,0.0,0.0,0.0,,1.0,,1.0,0.0,,,,,1.0,0.0,,,2022,02/11/2022,22:00,1,coritiba,2.54,2.88,0,1,3.15
6.59,0.73,82407,7,juventude,3.2,35,Chico,mei,3.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,,0.0,0.0,,,,,2.0,0.0,,,2022,02/11/2022,22:00,1,coritiba,2.54,2.88,0,1,3.15
2.49,-0.08,86675,7,juventude,-0.2,35,Rodrigo Soares,lat,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,1.0,0.0,,,2022,02/11/2022,22:00,1,coritiba,2.54,2.88,0,1,3.15
2.43,-0.4,88427,6,juventude,-0.1,35,Marlon,mei,0.0,,,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,2022,02/11/2022,22:00,1,coritiba,2.54,2.88,0,1,3.15
4.86,0.95,89150,6,juventude,5.6,35,Jean,mei,2.0,,,1.0,2.0,,0.0,,0.0,,0.0,,,,,,2.0,0.0,,,2022,02/11/2022,22:00,1,coritiba,2.54,2.88,0,1,3.15
4.47,-0.36,91422,7,juventude,4.0,35,César,gol,0.0,,,,,,,,,,0.0,,0.0,,0.0,1.0,,6.0,,,2022,02/11/2022,22:00,1,coritiba,2.54,2.88,0,1,3.15
5.28,1.31,93716,7,juventude,5.5,35,Paulo Henrique,lat,2.0,,,1.0,0.0,0.0,0.0,,3.0,,0.0,,0.0,,,,4.0,0.0,0.0,,2022,02/11/2022,22:00,1,coritiba,2.54,2.88,0,1,3.15
5.41,-0.14,94894,7,juventude,1.0,35,Capixaba,ata,1.0,0.0,,0.0,0.0,0.0,,,1.0,,1.0,,,,,,2.0,0.0,,,2022,02/11/2022,22:00,1,coritiba,2.54,2.88,0,1,3.15
1.37,-0.25,97448,3,juventude,-2.1,35,Thalisson Kelven,zag,0.0,,0.0,0.0,0.0,,,,1.0,0.0,1.0,,0.0,,,,0.0,0.0,,,2022,02/11/2022,22:00,1,coritiba,2.54,2.88,0,1,3.15
2.6,-0.02,101596,6,juventude,0.2,35,Vitor Gabriel,ata,1.0,,,0.0,0.0,0.0,0.0,,1.0,,0.0,,,,,,0.0,0.0,,,2022,02/11/2022,22:00,1,coritiba,2.54,2.88,0,1,3.15
4.06,0.05,104401,6,juventude,1.5,35,Vitor Mendes,zag,2.0,,,0.0,0.0,0.0,,,1.0,,0.0,0.0,0.0,,,,1.0,0.0,0.0,,2022,02/11/2022,22:00,1,coritiba,2.54,2.88,0,1,3.15
4.64,-0.29,108133,7,juventude,1.0,35,Pitta,ata,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,0.0,,,,,,0.0,0.0,,,2022,02/11/2022,22:00,1,coritiba,2.54,2.88,0,1,3.15
0.95,-0.21,120444,6,juventude,-0.2,35,Ruan,ata,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,0.0,,,2022,02/11/2022,22:00,1,coritiba,2.54,2.88,0,1,3.15
1.04,-0.28,120445,6,juventude,0.0,35,Rafinha,mei,0.0,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,,2022,02/11/2022,22:00,1,coritiba,2.54,2.88,0,1,3.15
5.86,0.78,36856,7,juventude,4.52,37,Celso Roth,tec,,,,,,,,,,,,,,,,,,0.0,,,2022,10/11/2022,00:30,1,flamengo,5.45,1.64,2,2,3.75
8.9,1.63,80129,3,juventude,13.1,37,Jadson,mei,2.0,,,0.0,0.0,1.0,0.0,,1.0,,1.0,0.0,,,,,5.0,0.0,,,2022,10/11/2022,00:30,1,flamengo,5.45,1.64,2,2,3.75
7.16,0.66,82407,3,juventude,6.9,37,Chico,mei,3.0,0.0,2.0,0.0,0.0,0.0,0.0,,3.0,,1.0,0.0,,,,,2.0,0.0,,,2022,10/11/2022,00:30,1,flamengo,5.45,1.64,2,2,3.75
2.41,-0.08,86675,6,juventude,-0.3,37,Rodrigo Soares,lat,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,,,2022,10/11/2022,00:30,1,flamengo,5.45,1.64,2,2,3.75
5.63,1.37,89150,3,juventude,10.1,37,Jean,mei,0.0,1.0,,0.0,1.0,,0.0,,2.0,,1.0,,,,,,5.0,0.0,,,2022,10/11/2022,00:30,1,flamengo,5.45,1.64,2,2,3.75
3.53,0.07,90569,7,juventude,2.5,37,Yuri Lima,mei,3.0,,,0.0,1.0,,,,5.0,,0.0,,,,,,2.0,0.0,,,2022,10/11/2022,00:30,1,flamengo,5.45,1.64,2,2,3.75
3.6,-0.12,91422,7,juventude,-1.0,37,César,gol,0.0,,,,,,,,,,0.0,,0.0,,0.0,2.0,,1.0,,,2022,10/11/2022,00:30,1,flamengo,5.45,1.64,2,2,3.75
6.55,1.45,93716,3,juventude,12.8,37,Paulo Henrique,lat,0.0,1.0,,0.0,0.0,1.0,0.0,,3.0,,1.0,,0.0,,,,2.0,0.0,0.0,,2022,10/11/2022,00:30,1,flamengo,5.45,1.64,2,2,3.75
5.43,0.21,94894,3,juventude,1.8,37,Capixaba,ata,3.0,0.0,,0.0,1.0,0.0,,,2.0,,1.0,,,,,,1.0,0.0,,,2022,10/11/2022,00:30,1,flamengo,5.45,1.64,2,2,3.75
1.85,0.48,97448,7,juventude,1.3,37,Thalisson Kelven,zag,1.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,,1.0,0.0,,,2022,10/11/2022,00:30,1,flamengo,5.45,1.64,2,2,3.75
3.24,-0.31,100289,7,juventude,-0.2,37,Felipe Pires,ata,2.0,0.0,,0.0,0.0,,0.0,,0.0,,1.0,,,,,,0.0,0.0,,,2022,10/11/2022,00:30,1,flamengo,5.45,1.64,2,2,3.75
